1;MATHEMATIQUES;1;1;7;1750;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;1
2;MATHEMATIQUES;1;1;8;1747;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;1
4;MATHEMATIQUES;1;1;4;1747;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;1
5;MATHEMATIQUES;1;1;5;1750;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;1
6;MATHEMATIQUES;1;1;6;1750;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;1
8;MATHEMATIQUES;1;1;1;1752;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;1
9;MATHEMATIQUES;1;1;2;1746;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;1
10;MATHEMATIQUES;1;1;3;1746;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;1
12;MATHEMATIQUES;1;1;15;1747;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;1
13;MATHEMATIQUES;1;1;16;1747;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;1
14;MATHEMATIQUES;1;1;22;1750;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;1
15;PHYSIQUES-CHIMIE;1;1;7;1755;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;2
16;PHYSIQUES-CHIMIE;1;1;8;1755;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;2
18;PHYSIQUES-CHIMIE;1;1;4;1755;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;2
19;PHYSIQUES-CHIMIE;1;1;5;1755;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;2
20;PHYSIQUES-CHIMIE;1;1;6;1753;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;2
22;PHYSIQUES-CHIMIE;1;1;1;1755;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;2
23;PHYSIQUES-CHIMIE;1;1;2;1755;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;2
24;PHYSIQUES-CHIMIE;1;1;3;1753;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;2
26;PHYSIQUES-CHIMIE;1;1;15;1755;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;2
27;PHYSIQUES-CHIMIE;1;1;16;1755;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;2
28;PHYSIQUES-CHIMIE;1;1;22;1753;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;2
29;ANGLAIS;1;1;7;1739;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;2
30;ANGLAIS;1;1;8;1737;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;2
32;ANGLAIS;1;1;4;1738;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;2
33;ANGLAIS;1;1;5;1739;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;2
34;ANGLAIS;1;1;6;1739;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;2
36;ANGLAIS;1;1;1;1738;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;2
37;ANGLAIS;1;1;2;1738;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;2
38;ANGLAIS;1;1;3;1737;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;2
40;ANGLAIS;1;1;15;1739;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;2
41;ANGLAIS;1;1;16;1739;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;2
42;ANGLAIS;1;1;22;1739;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;2
43;HISTOIRE-GEOGRAPHIE;1;1;7;1745;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;4
44;HISTOIRE-GEOGRAPHIE;1;1;8;1743;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;4
46;HISTOIRE-GEOGRAPHIE;1;1;4;1743;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;4
47;HISTOIRE-GEOGRAPHIE;1;1;5;1744;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;4
48;HISTOIRE-GEOGRAPHIE;1;1;6;1744;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;4
50;HISTOIRE-GEOGRAPHIE;1;1;1;1743;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;3
51;HISTOIRE-GEOGRAPHIE;1;1;2;1744;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;3
52;HISTOIRE-GEOGRAPHIE;1;1;3;1744;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;LETTRES;3
54;HISTOIRE-GEOGRAPHIE;1;1;15;1743;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;3
55;HISTOIRE-GEOGRAPHIE;1;1;16;1744;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;3
56;HISTOIRE-GEOGRAPHIE;1;1;22;1744;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;LETTRES;3
57;FRANCAIS;1;1;7;1736;279;2020-2021;;1;TROISIEME;1ER CYCLE;0;LETTRES;1
58;FRANCAIS;1;1;8;1736;279;2020-2021;;1;TROISIEME;1ER CYCLE;0;LETTRES;1
60;FRANCAIS;1;1;4;1734;279;2020-2021;;1;QUATRIEME;1ER CYCLE;0;LETTRES;1
61;FRANCAIS;1;1;5;1734;279;2020-2021;;1;QUATRIEME;1ER CYCLE;0;LETTRES;1
62;FRANCAIS;1;1;6;1735;279;2020-2021;;1;QUATRIEME;1ER CYCLE;0;LETTRES;1
64;FRANCAIS;1;1;1;1734;279;2020-2021;;1;CINQUIEME;1ER CYCLE;0;LETTRES;1
65;FRANCAIS;1;1;2;1734;279;2020-2021;;1;CINQUIEME;1ER CYCLE;0;LETTRES;1
66;FRANCAIS;1;1;3;1736;279;2020-2021;;1;CINQUIEME;1ER CYCLE;0;LETTRES;1
68;FRANCAIS;1;1;15;1733;279;2020-2021;;1;SIXIEME;1ER CYCLE;0;LETTRES;1
69;FRANCAIS;1;1;16;1735;279;2020-2021;;1;SIXIEME;1ER CYCLE;0;LETTRES;1
70;FRANCAIS;1;1;22;1736;279;2020-2021;;1;SIXIEME;1ER CYCLE;0;LETTRES;1
71;EDHC;1;1;7;1755;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;2
72;EDHC;1;1;8;1755;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;2
74;EDHC;1;1;4;1740;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;2
75;EDHC;1;1;5;1740;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;2
76;EDHC;1;1;6;1740;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;2
78;EDHC;1;1;1;1744;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;2
79;EDHC;1;1;2;1744;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;2
80;EDHC;1;1;3;1744;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;2
82;EDHC;1;1;15;1753;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;2
83;EDHC;1;1;16;1753;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;2
84;EDHC;1;1;22;1753;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;2
184;ANGLAIS;2;1;9;1737;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
183;ANGLAIS;4;1;11;1737;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;2
187;ANGLAIS;3;1;25;1738;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;2
185;ANGLAIS;2;1;10;1737;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;2
92;COUTURE;1;1;1;1765;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;5
93;COUTURE;1;1;2;1765;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;5
94;COUTURE;1;1;3;1765;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;5
96;COUTURE;1;1;15;1765;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;5
97;COUTURE;1;1;16;1765;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;5
98;COUTURE;1;1;22;1765;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;5
99;CPDP;1;1;7;0;279;2020-2021;;0;TROISIEME;1ER CYCLE;1;AUTRES;4
100;CPDP;1;1;8;0;279;2020-2021;;0;TROISIEME;1ER CYCLE;1;AUTRES;4
102;CPDP;1;1;4;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;5
103;CPDP;1;1;5;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;5
104;CPDP;1;1;6;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;5
106;CPDP;1;1;1;0;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;6
107;CPDP;1;1;2;0;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;6
108;CPDP;1;1;3;0;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;6
110;CPDP;1;1;15;1766;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;6
111;CPDP;1;1;16;0;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;6
112;CPDP;1;1;22;0;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;6
113;SVT;1;1;7;1759;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;3
114;SVT;1;1;8;1757;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;SCIENCES;3
116;SVT;1;1;4;1759;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;3
117;SVT;1;1;5;1759;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;3
118;SVT;1;1;6;1759;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;SCIENCES;3
120;SVT;1;1;1;1757;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;3
121;SVT;1;1;2;1757;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;3
122;SVT;1;1;3;1757;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;SCIENCES;3
124;SVT;1;1;15;1759;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;3
125;SVT;1;1;16;1759;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;3
126;SVT;1;1;22;1759;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;SCIENCES;3
127;EPS;1;1;7;1762;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;1
128;EPS;1;1;8;1762;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;1
130;EPS;1;1;4;1763;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;1
131;EPS;1;1;5;1763;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;1
132;EPS;1;1;6;1763;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;1
134;EPS;1;1;1;1762;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;1
135;EPS;1;1;2;1762;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;1
136;EPS;1;1;3;1762;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;1
138;EPS;1;1;15;1763;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;1
139;EPS;1;1;16;1763;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;1
140;EPS;1;1;22;1763;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;1
144;INFORMATIQUE;1;1;4;1764;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;4
145;INFORMATIQUE;1;1;5;1764;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;4
146;INFORMATIQUE;1;1;6;1764;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;4
148;INFORMATIQUE;1;1;1;1764;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;4
149;INFORMATIQUE;1;1;2;1764;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;4
150;INFORMATIQUE;1;1;3;1764;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;4
152;INFORMATIQUE;1;1;15;1764;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;4
153;INFORMATIQUE;1;1;16;1764;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;4
154;INFORMATIQUE;1;1;22;1764;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;4
156;FHR;1;1;8;0;279;2020-2021;;0;TROISIEME;1ER CYCLE;1;AUTRES;5
158;FHR;1;1;4;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;6
159;FHR;1;1;5;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;6
160;FHR;1;1;6;0;279;2020-2021;;0;QUATRIEME;1ER CYCLE;1;AUTRES;6
162;FHR;1;1;1;1768;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;7
163;FHR;1;1;2;0;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;7
164;FHR;1;1;3;0;279;2020-2021;;0;CINQUIEME;1ER CYCLE;1;AUTRES;7
166;FHR;1;1;15;1767;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;7
167;FHR;1;1;16;0;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;7
168;FHR;1;1;22;0;279;2020-2021;;0;SIXIEME;1ER CYCLE;1;AUTRES;7
169;EDUCATION MUSICALE;1;1;7;1760;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;3
170;EDUCATION MUSICALE;1;1;8;1760;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;AUTRES;3
172;EDUCATION MUSICALE;1;1;4;1761;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;3
173;EDUCATION MUSICALE;1;1;5;1761;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;3
174;EDUCATION MUSICALE;1;1;6;1761;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;AUTRES;3
176;EDUCATION MUSICALE;1;1;1;1761;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;3
177;EDUCATION MUSICALE;1;1;2;1761;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;3
178;EDUCATION MUSICALE;1;1;3;1761;279;2020-2021;;0;CINQUIEME;1ER CYCLE;0;AUTRES;3
180;EDUCATION MUSICALE;1;1;15;1760;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;3
181;EDUCATION MUSICALE;1;1;16;1760;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;3
182;EDUCATION MUSICALE;1;1;22;1761;279;2020-2021;;0;SIXIEME;1ER CYCLE;0;AUTRES;3
188;ANGLAIS;3;1;24;1738;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;2
190;ANGLAIS;4;1;14;1739;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;2
191;ANGLAIS;1;1;12;1737;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;2
192;ANGLAIS;1;1;13;1737;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;2
194;MATHEMATIQUES;2;1;11;1747;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;1
195;MATHEMATIQUES;5;1;9;1751;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
196;MATHEMATIQUES;4;1;10;1746;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;1
198;MATHEMATIQUES;3;1;25;1752;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;1
199;MATHEMATIQUES;5;1;24;1752;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;1
201;MATHEMATIQUES;2;4;14;1746;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;1
202;MATHEMATIQUES;5;1;12;1751;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;1
203;MATHEMATIQUES;4;1;13;1748;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;1
205;EDUCATION MUSICALE;1;1;11;1761;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;AUTRES;2
206;EDUCATION MUSICALE;1;1;9;1761;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
207;EDUCATION MUSICALE;1;1;10;1761;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;AUTRES;2
209;EDUCATION MUSICALE;1;1;25;1760;279;2020-2021;;0;SECONDE;2ND CYCLE;0;AUTRES;2
210;EDUCATION MUSICALE;1;1;24;1760;279;2020-2021;;0;SECONDE;2ND CYCLE;0;AUTRES;2
212;EDUCATION MUSICALE;1;1;14;1760;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;2
213;EDUCATION MUSICALE;1;1;12;1760;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;2
214;EDUCATION MUSICALE;1;1;13;1760;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;2
216;FRANCAIS;4;1;11;1733;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;1
217;FRANCAIS;3;1;9;1735;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
218;FRANCAIS;3;1;10;1735;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;1
220;FRANCAIS;4;1;25;1735;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;1
221;FRANCAIS;3;1;24;1734;279;2020-2021;;0;SECONDE;2ND CYCLE;0;\N;1
223;FRANCAIS;4;1;14;1733;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;1
224;FRANCAIS;3;1;12;1749;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;1
225;FRANCAIS;3;1;13;1749;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;1
227;HISTOIRE-GEOGRAPHIE;3;1;11;1743;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;5
228;HISTOIRE-GEOGRAPHIE;2;1;9;1743;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
229;HISTOIRE-GEOGRAPHIE;2;1;10;1743;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;4
231;HISTOIRE-GEOGRAPHIE;3;1;25;1742;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;5
232;HISTOIRE-GEOGRAPHIE;2;1;24;1745;279;2020-2021;;0;SECONDE;2ND CYCLE;0;\N;5
234;HISTOIRE-GEOGRAPHIE;3;1;14;1742;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;6
235;HISTOIRE-GEOGRAPHIE;2;1;12;1742;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;3
236;HISTOIRE-GEOGRAPHIE;2;1;13;1745;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;3
238;SVT;1;1;11;1757;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;3
239;PHILOSOPHIE;3;1;11;1732;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;6
240;PHYSIQUES-CHIMIE;1;1;11;1753;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;2
279;ESPAGNOL;3;1;25;1770;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;4
242;SVT;2;1;9;1757;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
243;PHILOSOPHIE;5;1;14;1731;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;5
244;EPS;1;1;9;1762;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
245;PHYSIQUES-CHIMIE;5;1;9;1754;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
246;PHILOSOPHIE;2;1;9;1732;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;\N;\N
276;ALLEMAND;3;1;14;1769;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;3
248;SVT;4;1;10;1758;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;3
249;EPS;1;1;10;1762;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;AUTRES;1
250;PHYSIQUES-CHIMIE;4;1;10;1754;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;SCIENCES;2
251;SVT;2;1;14;1757;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;3
252;PHILOSOPHIE;2;1;10;1732;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;LETTRES;3
253;EPS;1;1;14;1763;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;1
254;PHYSIQUES-CHIMIE;2;1;25;1753;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;2
277;ESPAGNOL;3;1;14;1770;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;4
256;SVT;2;1;25;1759;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;3
257;PHILOSOPHIE;2;1;12;1732;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;4
258;EPS;1;1;25;1763;279;2020-2021;;0;SECONDE;2ND CYCLE;0;AUTRES;1
259;PHYSIQUES-CHIMIE;4;1;24;1754;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;2
282;ALLEMAND;1;1;24;1769;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;3
261;SVT;2;1;24;1759;279;2020-2021;;0;SECONDE;2ND CYCLE;0;SCIENCES;3
262;EPS;1;1;24;1762;279;2020-2021;;0;SECONDE;2ND CYCLE;0;AUTRES;1
263;PHYSIQUES-CHIMIE;5;1;12;1756;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;2
264;SVT;2;1;12;1758;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;3
265;EPS;1;1;12;1763;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;1
266;EPS;1;1;11;1762;279;2020-2021;;0;PREMIERE;2ND CYCLE;0;AUTRES;1
267;EPS;1;1;13;1763;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;AUTRES;1
268;SVT;4;1;13;1758;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;SCIENCES;3
269;PHILOSOPHIE;2;1;13;1731;279;2020-2021;;0;TERMINALE;2ND CYCLE;0;LETTRES;4
271;ESPAGNOL;1;1;4;1740;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;3
272;ESPAGNOL;1;1;5;1740;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;3
273;ESPAGNOL;1;1;7;1740;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;3
274;ALLEMAND;1;1;6;1769;279;2020-2021;;0;QUATRIEME;1ER CYCLE;0;LETTRES;3
275;ALLEMAND;1;1;8;1769;279;2020-2021;;0;TROISIEME;1ER CYCLE;0;LETTRES;3
278;ALLEMAND;3;1;25;1769;279;2020-2021;;0;SECONDE;2ND CYCLE;0;LETTRES;3
